iter	MultiClass
0	1.266562442
1	1.155313844
2	1.077094158
3	1.005791069
4	0.9598625502
5	0.9250385407
6	0.8846736533
7	0.8447352462
8	0.8080252485
9	0.7833828717
10	0.7523164953
11	0.7264456251
12	0.7081481671
13	0.6856635926
14	0.6694596124
15	0.6546205799
16	0.635471078
17	0.6189991907
18	0.6063582732
19	0.5906269573
20	0.5769118506
21	0.5629936678
22	0.550597491
23	0.5372241654
24	0.5207586965
25	0.509174144
26	0.5014792042
27	0.4872527807
28	0.4764737758
29	0.4636986639
30	0.4555833673
31	0.4482582261
32	0.439365718
33	0.4310101585
34	0.4225045732
35	0.4157020685
36	0.4048971906
37	0.3978333536
38	0.3892605515
39	0.3813100895
40	0.376307132
41	0.3676323174
42	0.359238055
43	0.353670361
44	0.3464044231
45	0.3402423197
46	0.3349878994
47	0.3302556003
48	0.3247280731
49	0.318523048
50	0.3127617533
51	0.3081485504
52	0.3012061739
53	0.2954300927
54	0.2924498034
55	0.2874456219
56	0.2818645363
57	0.2783120792
58	0.2740356827
59	0.2688595574
60	0.2645281887
61	0.2611504098
62	0.2567061434
63	0.2524065998
64	0.2491444152
65	0.2474065927
66	0.2433404034
67	0.2413641071
68	0.2373598118
69	0.2330853382
70	0.23036391
71	0.2286965124
72	0.2260164399
73	0.2230792088
74	0.2205726367
75	0.2175424629
76	0.2147324852
77	0.2127025713
78	0.2096055695
79	0.2066255795
80	0.2041397025
81	0.2015639972
82	0.1996179898
83	0.1967234129
84	0.1944508816
85	0.191658117
86	0.1898438352
87	0.1887323858
88	0.1873021092
89	0.1852618864
90	0.1834393234
91	0.1805556699
92	0.1790899779
93	0.1763572637
94	0.1747170735
95	0.1729288463
96	0.1705371213
97	0.1692805429
98	0.167943795
99	0.1658717944
100	0.1638355633
101	0.1622153023
102	0.1603619316
103	0.1584212582
104	0.1563708453
105	0.1548090876
106	0.1536383556
107	0.1520231852
108	0.151218839
109	0.1500580133
110	0.1484641283
111	0.1475045996
112	0.146474347
113	0.1451605089
114	0.143909272
115	0.142580794
116	0.1409276525
117	0.1395922501
118	0.1388823647
119	0.1379226144
120	0.1367789971
121	0.1361525181
122	0.1349632958
123	0.1337840762
124	0.1326988095
125	0.1310421427
126	0.1299977337
127	0.1285638934
128	0.1269489758
129	0.1256030603
130	0.1242579321
131	0.1230360798
132	0.1219128019
133	0.1206825129
134	0.1199707165
135	0.1190970089
136	0.1177412063
137	0.1166563023
138	0.1152457535
139	0.1140675379
140	0.1127733228
141	0.1122013127
142	0.1115309698
143	0.1108763717
144	0.1099102056
145	0.1092058932
146	0.108673892
147	0.1079382628
148	0.1072966965
149	0.1067228675
150	0.1060074652
151	0.105229235
152	0.1046802709
153	0.1040406892
154	0.1032073607
155	0.1024325429
156	0.1018651348
157	0.1009174478
158	0.09971425565
159	0.09899480748
160	0.09821836455
161	0.09750688769
162	0.09693993285
163	0.09620021957
164	0.09558787421
165	0.09492053537
166	0.09411002467
167	0.09332604908
168	0.09245383414
169	0.09158499994
170	0.09122742158
171	0.09078897263
172	0.09021624591
173	0.08981104348
174	0.08915725375
175	0.08881134986
176	0.08822588751
177	0.08756719969
178	0.08690638427
179	0.08648252989
180	0.08586263597
181	0.08508413918
182	0.08463041305
183	0.08420705052
184	0.08381629688
185	0.0833408782
186	0.08285496631
187	0.08207865154
188	0.08168094793
189	0.08118395656
190	0.08080920819
191	0.08043143164
192	0.07998461352
193	0.07931969747
194	0.07892889641
195	0.07838997308
196	0.07771540567
197	0.07729197807
198	0.07669273678
199	0.07600884392
200	0.07548358299
201	0.07520907723
202	0.07472789351
203	0.07421528524
204	0.07374290372
205	0.07317187059
206	0.07291607889
207	0.07244156663
208	0.07191734014
209	0.07142866653
210	0.0709925607
211	0.07046727615
212	0.07026046157
213	0.06973421684
214	0.06927170051
215	0.06881976611
216	0.06853509518
217	0.06817401796
218	0.06791370907
219	0.06733793147
220	0.06701611177
221	0.0667446895
222	0.06633690952
223	0.06590593845
224	0.0655989021
225	0.06529869483
226	0.06506921905
227	0.06477964036
228	0.0644711847
229	0.06405137475
230	0.06374593683
231	0.06341490554
232	0.0631613306
233	0.06278660118
234	0.0624095003
235	0.06204171292
236	0.06173196527
237	0.0612626038
238	0.06096274384
239	0.06048397883
240	0.06016789164
241	0.05974981464
242	0.05946410607
243	0.05902678183
244	0.05870498597
245	0.05846603245
246	0.05825014807
247	0.05810372223
248	0.05776720174
249	0.05759574603
250	0.05731846051
251	0.05697874436
252	0.05667925813
253	0.05653288975
254	0.05618105098
255	0.05579485925
256	0.05555580824
257	0.05526709435
258	0.05502839398
259	0.054568309
