iter	Passed	Remaining
0	7	1988
1	10	1361
2	13	1127
3	15	1005
4	18	942
5	21	930
6	24	895
7	27	864
8	30	840
9	32	824
10	35	814
11	38	803
12	42	808
13	45	797
14	48	787
15	50	774
16	53	771
17	56	765
18	59	757
19	62	748
20	65	741
21	68	735
22	70	730
23	73	721
24	76	716
25	78	710
26	81	703
27	84	697
28	87	694
29	89	689
30	92	684
31	95	679
32	98	674
33	100	670
34	103	667
35	107	670
36	110	665
37	113	661
38	115	656
39	118	652
40	121	646
41	123	643
42	126	638
43	130	639
44	132	635
45	135	631
46	138	627
47	141	623
48	143	619
49	146	616
50	149	612
51	152	608
52	154	604
53	157	600
54	160	596
55	164	598
56	167	596
57	170	593
58	173	590
59	175	586
60	178	582
61	181	580
62	185	578
63	188	577
64	191	573
65	193	569
66	196	566
67	199	563
68	202	561
69	205	558
70	209	556
71	211	553
72	214	550
73	217	547
74	220	543
75	222	539
76	225	536
77	228	533
78	231	529
79	233	526
80	236	523
81	239	519
82	242	516
83	245	513
84	247	510
85	250	506
86	253	503
87	255	499
88	258	495
89	261	493
90	263	489
91	266	486
92	268	482
93	273	483
94	276	480
95	279	477
96	282	474
97	284	470
98	287	467
99	290	464
100	292	461
101	295	458
102	298	455
103	301	452
104	304	448
105	306	445
106	309	442
107	313	440
108	316	437
109	318	434
110	321	431
111	323	427
112	326	424
113	329	421
114	332	418
115	334	415
116	338	413
117	340	409
118	343	406
119	346	403
120	349	401
121	351	397
122	355	395
123	358	392
124	361	389
125	363	386
126	366	383
127	369	380
128	371	377
129	374	374
130	377	371
131	380	368
132	383	366
133	386	363
134	389	360
135	391	357
136	394	354
137	398	351
138	400	348
139	403	345
140	406	342
141	408	339
142	411	336
143	414	333
144	416	330
145	419	327
146	422	324
147	424	321
148	427	318
149	430	315
150	433	312
151	435	309
152	438	306
153	441	303
154	445	301
155	447	298
156	450	295
157	453	292
158	456	289
159	459	286
160	461	283
161	464	280
162	467	277
163	469	274
164	472	272
165	475	269
166	477	266
167	480	263
168	483	260
169	486	257
170	489	254
171	492	251
172	495	249
173	498	246
174	500	243
175	504	240
176	508	238
177	511	235
178	514	232
179	517	229
180	519	226
181	522	223
182	525	221
183	528	218
184	530	215
185	533	212
186	536	209
187	539	206
188	542	203
189	545	201
190	548	198
191	552	195
192	554	192
193	557	189
194	560	186
195	563	183
196	566	181
197	569	178
198	572	175
199	574	172
200	577	169
201	580	166
202	582	163
203	585	160
204	588	157
205	591	154
206	593	152
207	596	149
208	599	146
209	602	143
210	605	140
211	607	137
212	610	134
213	613	131
214	616	128
215	619	126
216	621	123
217	623	120
218	626	117
219	628	114
220	631	111
221	634	108
222	637	105
223	639	102
224	642	99
225	645	97
226	647	94
227	650	91
228	653	88
229	657	85
230	660	82
231	663	80
232	666	77
233	670	74
234	673	71
235	676	68
236	678	65
237	682	63
238	684	60
239	687	57
240	690	54
241	693	51
242	697	48
243	700	45
244	703	43
245	705	40
246	708	37
247	711	34
248	713	31
249	716	28
250	719	25
251	722	22
252	725	20
253	727	17
254	730	14
255	733	11
256	735	8
257	739	5
258	741	2
259	744	0
